Left_team_title;Left_team_coefficients;Moneybet_for_left_team;Left_team_win_percent;Time_before_match;Right_team_title;Right_team_coefficients;Moneybet_for_right_team;Right_team_win_percent
 12 CR4ZY ;x2.02;946614;47%; Скоро старт ; North 7 ;x1.79;1076890;53%
 17 Heroic ;x3.12;143384;30%;07м; Ence 6 ;x1.38;338489;70%
 4 Vitality ;x1.20;153715;82%;07м; Renegades 16 ;x5.04;34270;18%
 19 AVANGAR ;x1.02;32285;98%;37м; Defusekids null ;x43.10;690;2%
 64 LDLC ;x5.12;713;18%;37м; Tricked 32 ;x1.20;3263;82%
 87 Fierce ;x3.09;226;30%;37м; SJ Gaming 61 ;x1.39;524;70%
 10 Fnatic ;x1.24;189217;79%;1ч 07м; mousesports 5 ;x4.32;51341;21%
 70 Unicorns of Love ;x1.32;2599;74%;1ч 07м; Copenhagen Flames 74 ;x3.51;931;26%
 101 Goliath ;x1.72;259;56%;2ч 37м; Sinister5 null ;x2.13;206;44%
 null EXILE ;x2.15;175;44%;2ч 37м; OFFSET 103 ;x1.71;223;56%
 42 Nemiga ;x2.80;1;33%;3ч 37м; HAVU 49 ;x1.45;2;67%
 65 Izako Boars ;x1.00;1;100%;3ч 37м; TBD null ;;0;0%
 63 expert ;x1.00;0;0%;3ч 37м; TBD null ;x1.00;0;0%
 54 ALTERNATE aTTaX ;x1.00;0;0%;3ч 37м; TBD null ;x1.00;0;0%
 9 G2 ;x1.25;23214;78%;3ч 57м; mibr 15 ;x4.22;6485;22%
 77 DETONA ;x1.10;983;90%;4ч 07м; Team Reapers 138 ;x9.25;107;10%
 null Fanta ;x1.21;63;81%;6ч 07м; Bizarre null ;x4.79;15;19%
 null Thunder Logic ;x4.79;15;19%;9ч 37м; Just Swing null ;x1.21;63;81%
 null Big Frames ;x1.56;119;62%;9ч 37м; Prospects null ;x2.44;74;38%
 null mythic ;x10.43;24;9%;9ч 37м; heX null ;x1.09;251;91%
 125 absolute mad lads ;x1.49;62;65%;9ч 37м; Bushido Boyz null ;x2.64;34;35%
 13 FURIA ;x1.02;576;98%;16ч 07м; Sharks 58 ;x40.88;13;2%
 8 NRG ;x1.01;10641;99%;19ч 07м; INTZ 45 ;x83.40;116;1%
